+------+----------------+------+-------+-----+----------------------+------------------+--------+
|  id  | account_number | year | month | day |     atm_location     | transaction_type | amount |
+------+----------------+------+-------+-----+----------------------+------------------+--------+
| 1    | 57022441       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 40     |
| 2    | 39167741       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 40     |
| 3    | 93622979       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 50     |
| 4    | 11605357       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 25     |
| 5    | 27362189       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 75     |
| 6    | 20774848       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 70     |
| 7    | 28500762       | 2021 | 7     | 26  | Leggett Street       | deposit          | 75     |
| 8    | 39774254       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 75     |
| 9    | 81061156       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 95     |
| 10   | 66254725       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 55     |
| 11   | 23708703       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 100    |
| 12   | 86363979       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 60     |
| 13   | 75571594       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 20     |
| 14   | 87859883       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 50     |
| 15   | 66454844       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 30     |
| 16   | 50380485       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 35     |
| 17   | 26013199       | 2021 | 7     | 26  | Leggett Street       | deposit          | 55     |
| 18   | 36438351       | 2021 | 7     | 26  | Leggett Street       | deposit          | 60     |
| 19   | 16194980       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 25     |
| 20   | 19674896       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 50     |
| 21   | 46222318       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 10     |
| 22   | 92206742       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 60     |
| 23   | 21021018       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 85     |
| 24   | 36438351       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 40     |
| 25   | 96336648       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 5      |
| 26   | 74812642       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 80     |
| 27   | 36709431       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 28   | 87859883       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 85     |
| 29   | 25506511       | 2021 | 7     | 26  | Leggett Street       | deposit          | 55     |
| 30   | 13156006       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 20     |
| 31   | 93401152       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 32   | 66344537       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 10     |
| 33   | 21004503       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 40     |
| 34   | 52833142       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 75     |
| 35   | 52457779       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 45     |
| 36   | 58552019       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 37   | 24064261       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 100    |
| 38   | 66254725       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 100    |
| 39   | 49610011       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 10     |
| 40   | 97338436       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 65     |
| 41   | 72161631       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 95     |
| 42   | 34939061       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 100    |
| 43   | 91814087       | 2021 | 7     | 26  | Leggett Street       | deposit          | 30     |
| 44   | 13156006       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 50     |
| 45   | 39696970       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 55     |
| 46   | 32747120       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 5      |
| 47   | 92206742       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 50     |
| 48   | 56171033       | 2021 | 7     | 26  | Leggett Street       | deposit          | 50     |
| 49   | 45096649       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 90     |
| 50   | 94973060       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 60     |
| 51   | 76849114       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 5      |
| 52   | 21149684       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 95     |
| 53   | 50665819       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 10     |
| 54   | 46222318       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 10     |
| 55   | 57022441       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 25     |
| 56   | 54824866       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 10     |
| 57   | 38010758       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 80     |
| 58   | 45096649       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 75     |
| 59   | 79127781       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 95     |
| 60   | 66344537       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 90     |
| 61   | 62075502       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 10     |
| 62   | 83997425       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 85     |
| 63   | 38010758       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 35     |
| 64   | 19531272       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 30     |
| 65   | 32134232       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 65     |
| 66   | 14969369       | 2021 | 7     | 26  | Leggett Street       | deposit          | 95     |
| 67   | 69278040       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 30     |
| 68   | 28296815       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 30     |
| 69   | 24133830       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 45     |
| 70   | 41935128       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 40     |
| 71   | 78860023       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 5      |
| 72   | 32747120       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 75     |
| 73   | 40981669       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 20     |
| 74   | 78860023       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 85     |
| 75   | 31380453       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 95     |
| 76   | 73530768       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 75     |
| 77   | 79165736       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 65     |
| 78   | 62075502       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 100    |
| 79   | 99031604       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 20     |
| 80   | 65992992       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 35     |
| 81   | 26797365       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 5      |
| 82   | 92647903       | 2021 | 7     | 26  | Leggett Street       | deposit          | 25     |
| 83   | 21656307       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 50     |
| 84   | 69638157       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 85     |
| 85   | 40237163       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 50     |
| 86   | 15452229       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 95     |
| 87   | 86850293       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 100    |
| 88   | 14969369       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 45     |
| 89   | 96352349       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 50     |
| 90   | 37033371       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 80     |
| 91   | 49406050       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 95     |
| 92   | 73183211       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 93   | 42445987       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 75     |
| 94   | 86997719       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 65     |
| 95   | 67735369       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 5      |
| 96   | 37409101       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 5      |
| 97   | 27952274       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 40     |
| 98   | 62690806       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 15     |
| 99   | 45468795       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 100    |
| 100  | 33637883       | 2021 | 7     | 26  | Leggett Street       | deposit          | 65     |
| 101  | 32179718       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 80     |
| 102  | 99835463       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 65     |
| 103  | 65190958       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 50     |
| 104  | 94751264       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 25     |
| 105  | 65992992       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 60     |
| 106  | 19674896       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 10     |
| 107  | 66220752       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 35     |
| 108  | 59116006       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 30     |
| 109  | 14180174       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 95     |
| 110  | 26191313       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 70     |
| 111  | 26567509       | 2021 | 7     | 26  | Leggett Street       | deposit          | 85     |
| 112  | 59116006       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 35     |
| 113  | 24907878       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 40     |
| 114  | 73183211       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 50     |
| 115  | 72161631       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 20     |
| 116  | 52457779       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 65     |
| 117  | 95773068       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 20     |
| 118  | 85274751       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 70     |
| 119  | 56648519       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 40     |
| 120  | 27482737       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 20     |
| 121  | 70992522       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 40     |
| 122  | 24133830       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 10     |
| 123  | 98353484       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 60     |
| 124  | 65190958       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 25     |
| 125  | 17171330       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 65     |
| 126  | 70504954       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 100    |
| 127  | 24907878       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 95     |
| 128  | 47306903       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 75     |
| 129  | 89843009       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 95     |
| 130  | 50380485       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 80     |
| 131  | 15452229       | 2021 | 7     | 27  | Leggett Street       | deposit          | 75     |
| 132  | 26017967       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 35     |
| 133  | 18363023       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 75     |
| 134  | 14180174       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 50     |
| 135  | 66254725       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 65     |
