+----------------+-----------+---------------+
| account_number | person_id | creation_year |
+----------------+-----------+---------------+
| 52833142       | 677560    | 2010          |
| 50665819       | 893762    | 2010          |
| 49610011       | 686048    | 2010          |
| 79758906       | 279793    | 2010          |
| 36709431       | 486361    | 2010          |
| 47306903       | 651217    | 2010          |
| 55656186       | 753885    | 2010          |
| 65190958       | 779942    | 2010          |
| 45468795       | 952462    | 2010          |
| 24064261       | 430845    | 2010          |
| 86363979       | 948985    | 2010          |
| 45096649       | 580086    | 2010          |
| 70992522       | 504758    | 2010          |
| 14180174       | 764823    | 2010          |
| 46222318       | 539960    | 2011          |
| 42445987       | 745650    | 2011          |
| 34939061       | 985539    | 2011          |
| 55322348       | 484375    | 2011          |
| 39167741       | 810563    | 2011          |
| 56648519       | 477251    | 2011          |
| 70504954       | 804716    | 2011          |
| 26581257       | 857325    | 2011          |
| 18363023       | 975354    | 2011          |
| 90209473       | 632023    | 2011          |
| 27482737       | 210641    | 2011          |
| 26567509       | 210245    | 2011          |
| 65992992       | 795190    | 2011          |
| 32212020       | 230917    | 2012          |
| 26013199       | 514354    | 2012          |
| 21021018       | 267176    | 2012          |
| 38010758       | 682699    | 2012          |
| 93903397       | 704850    | 2012          |
| 57022441       | 757606    | 2012          |
| 62075502       | 926715    | 2012          |
| 76849114       | 293753    | 2012          |
| 50380485       | 572028    | 2012          |
| 97338436       | 545303    | 2012          |
| 36438351       | 331126    | 2012          |
| 17161820       | 809265    | 2012          |
| 26017967       | 242207    | 2012          |
| 26191313       | 490439    | 2012          |
| 47746428       | 847116    | 2012          |
| 24907878       | 404704    | 2012          |
| 19531272       | 650560    | 2012          |
| 78860023       | 821978    | 2012          |
| 73530768       | 502920    | 2012          |
| 89843009       | 274388    | 2012          |
| 16153065       | 458378    | 2012          |
| 69638157       | 567218    | 2012          |
| 76896546       | 331484    | 2013          |
| 49406050       | 937274    | 2013          |
| 58673910       | 229572    | 2013          |
| 54824866       | 617509    | 2013          |
| 58552019       | 652412    | 2013          |
| 16194980       | 754943    | 2013          |
| 37543139       | 505688    | 2013          |
| 71305903       | 223936    | 2013          |
| 33528144       | 712712    | 2013          |
| 11605357       | 354903    | 2014          |
| 66254725       | 225259    | 2014          |
| 92647903       | 341739    | 2014          |
| 20774848       | 423393    | 2014          |
| 73183211       | 730171    | 2014          |
| 99835463       | 534459    | 2014          |
| 15911007       | 768035    | 2014          |
| 15452229       | 337221    | 2014          |
| 69278040       | 379932    | 2014          |
| 66454844       | 622544    | 2014          |
| 28296815       | 395717    | 2014          |
| 21004503       | 260099    | 2014          |
| 74812642       | 231387    | 2014          |
| 25506511       | 396669    | 2014          |
| 28500762       | 467400    | 2014          |
| 19674896       | 419774    | 2014          |
| 94973060       | 764352    | 2014          |
| 75571594       | 907148    | 2015          |
| 85274751       | 955017    | 2015          |
| 32747120       | 788911    | 2015          |
| 17171330       | 850016    | 2015          |
| 41935128       | 713341    | 2015          |
| 57029719       | 743806    | 2015          |
| 72161631       | 251693    | 2015          |
| 92206742       | 585903    | 2015          |
| 21656307       | 447494    | 2015          |
| 76054385       | 449774    | 2015          |
| 44432923       | 313837    | 2015          |
| 33637883       | 253397    | 2015          |
| 26249951       | 495558    | 2016          |
| 87859883       | 623724    | 2016          |
| 39774254       | 677698    | 2016          |
| 79165736       | 637069    | 2016          |
| 83997425       | 780088    | 2016          |
| 66220752       | 710572    | 2016          |
| 95773068       | 630782    | 2016          |
| 21149684       | 375525    | 2016          |
| 28579039       | 280744    | 2016          |
| 32134232       | 720244    | 2016          |
| 99031604       | 336397    | 2016          |
| 67735369       | 834626    | 2016          |
| 96352349       | 620297    | 2016          |
| 86850293       | 325548    | 2017          |
| 37033371       | 809194    | 2017          |
| 32179718       | 828675    | 2017          |
| 40665580       | 769190    | 2017          |
| 40231842       | 271242    | 2017          |
| 96336648       | 274893    | 2017          |
| 16113845       | 748674    | 2017          |
| 16654966       | 205082    | 2017          |
| 69562812       | 604497    | 2017          |
| 26797365       | 929343    | 2017          |
| 13156006       | 920334    | 2017          |
| 40981669       | 282425    | 2017          |
| 24133830       | 229076    | 2018          |
| 56171033       | 243696    | 2018          |
| 62690806       | 526940    | 2018          |
| 86997719       | 316531    | 2018          |
| 79127781       | 837455    | 2018          |
| 52457779       | 384013    | 2018          |
| 91814087       | 485785    | 2018          |
| 93401152       | 620295    | 2018          |
| 81061156       | 438727    | 2018          |
| 23708703       | 518594    | 2018          |
| 31380453       | 363991    | 2018          |
| 14969369       | 685894    | 2018          |
| 79806482       | 539107    | 2019          |
| 39696970       | 537582    | 2019          |
| 27362189       | 520840    | 2019          |
| 27952274       | 343881    | 2019          |
| 66344537       | 506435    | 2019          |
| 98353484       | 591369    | 2019          |
| 97773635       | 682850    | 2019          |
| 93622979       | 734908    | 2019          |
| 94751264       | 864400    | 2019          |
| 37409101       | 440007    | 2020          |
| 59116006       | 681821    | 2020          |
| 15871517       | 639344    | 2020          |
| 40237163       | 953420    | 2020          |
+----------------+-----------+---------------+
