+-----------+-----------------+------+
| flight_id | passport_number | seat |
+-----------+-----------------+------+
| 1         | 2400516856      | 2C   |
| 1         | 9183348466      | 3B   |
| 1         | 9628244268      | 4B   |
| 1         | 3412604728      | 5A   |
| 2         | 2963008352      | 6C   |
| 2         | 9224308981      | 7B   |
| 2         | 5031682798      | 8C   |
| 2         | 2884243902      | 9D   |
| 2         | 7874488539      | 2C   |
| 2         | 9608210024      | 3D   |
| 3         | 4120608613      | 4D   |
| 3         | 8914039923      | 5A   |
| 3         | 3249120117      | 6C   |
| 3         | 3915621712      | 7B   |
| 3         | 4195341387      | 8A   |
| 3         | 8613298074      | 9D   |
| 3         | 7178034193      | 2A   |
| 3         | 4977790793      | 3B   |
| 4         | 6216255522      | 4B   |
| 4         | 3355598951      | 5C   |
| 4         | 2750542732      | 6C   |
| 4         | 1207566299      | 7A   |
| 4         | 9692634019      | 8C   |
| 4         | 5138876283      | 9B   |
| 4         | 1165086731      | 2C   |
| 5         | 5140313594      | 3C   |
| 5         | 9135709773      | 4D   |
| 5         | 4377966420      | 5D   |
| 5         | 1833124350      | 6D   |
| 5         | 9586786673      | 7A   |
| 5         | 7226911797      | 8D   |
| 6         | 3835860232      | 9A   |
| 6         | 1618186613      | 2C   |
| 6         | 7179245843      | 3B   |
| 6         | 1682575122      | 4B   |
| 6         | 7597790505      | 5D   |
| 6         | 6128131458      | 6B   |
| 6         | 6264773605      | 7D   |
| 6         | 3642612721      | 8A   |
| 7         | 4356447308      | 9C   |
| 7         | 7441135547      | 2C   |
| 7         | 4041498045      | 3C   |
| 7         | 7951366683      | 4B   |
| 8         | 9172951504      | 5A   |
| 8         | 5310124622      | 6D   |
| 8         | 5806941094      | 7B   |
| 8         | 9852889341      | 8A   |
| 8         | 3699913849      | 9C   |
| 8         | 2996517496      | 2C   |
| 9         | 7918203533      | 3A   |
| 9         | 3925120216      | 4D   |
| 9         | 3816396248      | 5D   |
| 9         | 9584465633      | 6D   |
| 9         | 7020183712      | 7A   |
| 9         | 7712200330      | 8A   |
| 9         | 3011089587      | 9D   |
| 10        | 3391710505      | 2A   |
| 10        | 2818150870      | 3A   |
| 10        | 8932594930      | 4A   |
| 10        | 5551547908      | 5D   |
| 10        | 7771405611      | 6C   |
| 10        | 2438825627      | 7C   |
| 10        | 7884829354      | 8D   |
| 11        | 4001449165      | 9C   |
| 11        | 2290269570      | 2C   |
| 11        | 2160709651      | 3A   |
| 11        | 8336437534      | 4D   |
| 11        | 8496433585      | 5D   |
| 12        | 6117294637      | 6A   |
| 12        | 6464352048      | 7C   |
| 12        | 1236213682      | 8B   |
| 12        | 4631067354      | 9D   |
| 12        | 2169423415      | 2A   |
| 13        | 8834222028      | 3D   |
| 13        | 3866596772      | 4C   |
| 13        | 7118667746      | 5B   |
| 13        | 5361280978      | 6C   |
| 13        | 4223654265      | 7B   |
| 13        | 4328444220      | 8B   |
| 14        | 2047409662      | 9B   |
| 14        | 1782675901      | 2A   |
| 14        | 9290922261      | 3C   |
| 14        | 1095374669      | 4D   |
| 14        | 9698118788      | 5C   |
| 14        | 2041495124      | 6B   |
| 15        | 7954314541      | 7A   |
| 15        | 4590049635      | 8A   |
| 15        | 8639149598      | 9B   |
| 15        | 8909375052      | 2D   |
| 16        | 1679711307      | 3A   |
| 16        | 5584283945      | 4D   |
| 16        | 5776544886      | 5B   |
| 16        | 9747563214      | 6D   |
| 16        | 7894166154      | 7B   |
| 16        | 6034823042      | 8D   |
| 17        | 4408372428      | 9D   |
| 17        | 2312901747      | 2B   |
| 17        | 1151340634      | 3B   |
| 17        | 8174538026      | 4C   |
| 17        | 1050247273      | 5A   |
| 17        | 7834357192      | 6A   |
| 17        | 9687940003      | 7C   |
| 17        | 6632213958      | 8B   |
| 18        | 2835165196      | 9C   |
| 18        | 6131360461      | 2C   |
| 18        | 3231999695      | 3C   |
| 18        | 3592750733      | 4C   |
| 18        | 2626335085      | 5D   |
| 18        | 6117294637      | 6B   |
| 18        | 2996517496      | 7A   |
| 18        | 3915621712      | 8D   |
| 19        | 7771405611      | 9D   |
| 19        | 8174538026      | 2C   |
| 19        | 7020183712      | 3C   |
| 19        | 5138876283      | 4C   |
| 19        | 4158550933      | 5A   |
| 20        | 2963008352      | 6B   |
| 20        | 8639149598      | 7C   |
| 20        | 2160709651      | 8A   |
| 20        | 4120608613      | 9B   |
| 20        | 4408372428      | 2D   |
| 20        | 6034823042      | 3B   |
| 20        | 7918203533      | 4B   |
| 21        | 8810489487      | 5A   |
| 21        | 2438825627      | 6A   |
| 21        | 4041498045      | 7D   |
| 21        | 2835165196      | 8D   |
| 22        | 9920757687      | 9A   |
| 22        | 8714200946      | 2C   |
| 22        | 9029462229      | 3D   |
| 22        | 9135709773      | 4D   |
| 22        | 5031682798      | 5C   |
| 22        | 4356447308      | 6B   |
| 23        | 4149859587      | 7D   |
| 23        | 9183348466      | 8A   |
| 23        | 7378796210      | 9B   |
| 23        | 7874488539      | 2C   |
| 23        | 4195341387      | 3A   |
| 23        | 6263461050      | 4A   |
| 23        | 3231999695      | 5A   |
| 23        | 7951366683      | 6B   |
| 24        | 8623763125      | 7A   |
| 24        | 1151340634      | 8C   |
| 24        | 7178034193      | 9A   |
| 24        | 3592750733      | 2C   |
| 25        | 1618186613      | 3B   |
| 25        | 8613298074      | 4C   |
| 25        | 8914039923      | 5D   |
| 25        | 1526109096      | 6C   |
| 25        | 7834357192      | 7B   |
| 26        | 9608210024      | 8A   |
| 26        | 7226911797      | 9A   |
| 26        | 7049073643      | 2C   |
| 26        | 4754635619      | 3A   |
| 26        | 6216255522      | 4C   |
| 27        | 4631067354      | 5C   |
| 27        | 9698118788      | 6B   |
| 27        | 9355133130      | 7D   |
| 27        | 1207566299      | 8C   |
| 27        | 6131360461      | 9A   |
| 27        | 4223654265      | 2C   |
| 27        | 7712200330      | 3C   |
| 28        | 7179245843      | 4A   |
| 28        | 8834222028      | 5C   |
| 28        | 9852889341      | 6B   |
| 28        | 2628207874      | 7B   |
| 28        | 3699913849      | 8A   |
| 28        | 8336437534      | 9B   |
| 28        | 3391710505      | 2A   |
| 28        | 3355598951      | 3D   |
| 29        | 5361280978      | 4B   |
| 29        | 4328444220      | 5D   |
| 29        | 1139561952      | 6B   |
| 29        | 4215752756      | 7B   |
| 29        | 3564659888      | 8B   |
| 30        | 2818150870      | 9D   |
| 30        | 2041495124      | 2C   |
| 30        | 1165086731      | 3C   |
| 30        | 3833243751      | 4A   |
| 30        | 1095374669      | 5C   |
| 30        | 9893853348      | 6D   |
| 30        | 8932594930      | 7A   |
| 30        | 1833124350      | 8B   |
| 31        | 3642612721      | 9B   |
| 31        | 3011089587      | 2B   |
| 31        | 6720918005      | 3D   |
| 31        | 7884829354      | 4A   |
| 31        | 7441135547      | 5A   |
| 32        | 3866596772      | 6B   |
| 32        | 5140313594      | 7B   |
| 32        | 3816396248      | 8C   |
| 32        | 8699553201      | 9C   |
| 33        | 7538263720      | 2C   |
| 33        | 4879021885      | 3C   |
| 33        | 7118667746      | 4C   |
| 33        | 2180939853      | 5B   |
| 34        | 1050247273      | 6A   |
| 34        | 9290922261      | 7B   |
| 34        | 3366196639      | 8A   |
| 34        | 9826028703      | 9B   |
| 34        | 6121106406      | 2A   |
| 35        | 1682575122      | 3D   |
| 35        | 8284363264      | 4C   |
| 35        | 6627121233      | 5A   |
| 35        | 6632213958      | 6D   |
| 35        | 1801324150      | 7A   |
| 35        | 9143726159      | 8D   |
| 35        | 4377966420      | 9C   |
| 35        | 7021171868      | 2C   |
| 36        | 7214083635      | 2A   |
| 36        | 1695452385      | 3B   |
| 36        | 5773159633      | 4A   |
| 36        | 1540955065      | 5C   |
| 36        | 8294398571      | 6C   |
| 36        | 1988161715      | 6D   |
| 36        | 9878712108      | 7A   |
| 36        | 8496433585      | 7B   |
| 37        | 9628244268      | 3A   |
| 37        | 6264773605      | 4D   |
