+-----+----------------+----------------+------+-------+-----+----------+
| id  |     caller     |    receiver    | year | month | day | duration |
+-----+----------------+----------------+------+-------+-----+----------+
| 1   | (123) 555-5144 | (007) 555-2874 | 2021 | 7     | 25  | 243      |
| 2   | (741) 555-1748 | (301) 555-4174 | 2021 | 7     | 25  | 350      |
| 3   | (022) 555-4052 | (118) 555-8106 | 2021 | 7     | 25  | 160      |
| 4   | (704) 555-5790 | (873) 555-3868 | 2021 | 7     | 25  | 186      |
| 5   | (645) 555-8082 | (695) 555-0348 | 2021 | 7     | 25  | 247      |
| 6   | (042) 555-1772 | (775) 555-7584 | 2021 | 7     | 25  | 100      |
| 7   | (996) 555-8899 | (831) 555-0973 | 2021 | 7     | 25  | 326      |
| 8   | (680) 555-4935 | (195) 555-4173 | 2021 | 7     | 25  | 446      |
| 9   | (367) 555-5533 | (113) 555-7544 | 2021 | 7     | 25  | 469      |
| 10  | (394) 555-3247 | (717) 555-1342 | 2021 | 7     | 25  | 239      |
| 11  | (891) 555-5672 | (222) 555-8026 | 2021 | 7     | 25  | 486      |
| 12  | (458) 555-8396 | (324) 555-0416 | 2021 | 7     | 25  | 104      |
| 13  | (168) 555-6126 | (618) 555-9856 | 2021 | 7     | 25  | 390      |
| 14  | (670) 555-8598 | (194) 555-5027 | 2021 | 7     | 25  | 461      |
| 15  | (117) 555-6630 | (971) 555-2231 | 2021 | 7     | 25  | 143      |
| 16  | (579) 555-5030 | (113) 555-7544 | 2021 | 7     | 25  | 405      |
| 17  | (839) 555-1757 | (204) 555-4136 | 2021 | 7     | 25  | 310      |
| 18  | (594) 555-2863 | (060) 555-2489 | 2021 | 7     | 25  | 541      |
| 19  | (996) 555-8899 | (618) 555-9856 | 2021 | 7     | 25  | 550      |
| 20  | (188) 555-4719 | (125) 555-8030 | 2021 | 7     | 25  | 94       |
| 21  | (420) 555-5821 | (338) 555-6650 | 2021 | 7     | 25  | 168      |
| 22  | (398) 555-1013 | (006) 555-0505 | 2021 | 7     | 25  | 47       |
| 23  | (098) 555-1164 | (786) 555-5321 | 2021 | 7     | 25  | 191      |
| 24  | (340) 555-8872 | (491) 555-2505 | 2021 | 7     | 25  | 199      |
| 25  | (117) 555-6630 | (243) 555-7229 | 2021 | 7     | 25  | 466      |
| 26  | (618) 555-9856 | (042) 555-1772 | 2021 | 7     | 25  | 535      |
| 27  | (962) 555-5827 | (233) 555-0473 | 2021 | 7     | 25  | 67       |
| 28  | (660) 555-3095 | (380) 555-4380 | 2021 | 7     | 25  | 107      |
| 29  | (368) 555-3561 | (911) 555-0229 | 2021 | 7     | 25  | 536      |
| 30  | (568) 555-3190 | (357) 555-0246 | 2021 | 7     | 25  | 441      |
| 31  | (771) 555-7880 | (286) 555-6063 | 2021 | 7     | 25  | 119      |
| 32  | (487) 555-5865 | (286) 555-6063 | 2021 | 7     | 25  | 199      |
| 33  | (959) 555-4871 | (007) 555-2874 | 2021 | 7     | 25  | 596      |
| 34  | (492) 555-5484 | (406) 555-4440 | 2021 | 7     | 25  | 36       |
| 35  | (066) 555-9701 | (984) 555-5921 | 2021 | 7     | 25  | 586      |
| 36  | (286) 555-0131 | (056) 555-0309 | 2021 | 7     | 25  | 46       |
| 37  | (406) 555-4440 | (786) 555-5321 | 2021 | 7     | 25  | 416      |
| 38  | (814) 555-5180 | (529) 555-7276 | 2021 | 7     | 25  | 491      |
| 39  | (020) 555-6715 | (367) 555-5533 | 2021 | 7     | 25  | 414      |
| 40  | (329) 555-5870 | (394) 555-3247 | 2021 | 7     | 25  | 127      |
| 41  | (027) 555-1068 | (594) 555-6254 | 2021 | 7     | 25  | 582      |
| 42  | (219) 555-0139 | (464) 555-2162 | 2021 | 7     | 25  | 232      |
| 43  | (037) 555-8455 | (356) 555-6641 | 2021 | 7     | 25  | 71       |
| 44  | (367) 555-0409 | (918) 555-2946 | 2021 | 7     | 25  | 77       |
| 45  | (260) 555-0610 | (721) 555-1131 | 2021 | 7     | 25  | 547      |
| 46  | (286) 555-6063 | (789) 555-8833 | 2021 | 7     | 25  | 125      |
| 47  | (775) 555-7584 | (873) 555-3868 | 2021 | 7     | 25  | 305      |
| 48  | (971) 555-2231 | (031) 555-6622 | 2021 | 7     | 25  | 460      |
| 49  | (770) 555-1196 | (022) 555-4052 | 2021 | 7     | 25  | 60       |
| 50  | (601) 555-6795 | (877) 555-0523 | 2021 | 7     | 25  | 261      |
| 51  | (458) 555-8396 | (455) 555-5315 | 2021 | 7     | 25  | 565      |
| 52  | (594) 555-6254 | (194) 555-5027 | 2021 | 7     | 25  | 508      |
| 53  | (427) 555-0556 | (329) 555-5870 | 2021 | 7     | 25  | 180      |
| 54  | (452) 555-8550 | (496) 555-2096 | 2021 | 7     | 25  | 588      |
| 55  | (020) 555-6715 | (558) 555-9741 | 2021 | 7     | 25  | 398      |
| 56  | (016) 555-9166 | (337) 555-9411 | 2021 | 7     | 25  | 426      |
| 57  | (389) 555-5198 | (368) 555-3561 | 2021 | 7     | 25  | 414      |
| 58  | (492) 555-5484 | (786) 555-5321 | 2021 | 7     | 25  | 171      |
| 59  | (998) 555-1979 | (660) 555-3095 | 2021 | 7     | 25  | 295      |
| 60  | (113) 555-7544 | (801) 555-8906 | 2021 | 7     | 25  | 106      |
| 61  | (455) 555-5315 | (293) 555-1469 | 2021 | 7     | 25  | 117      |
| 62  | (113) 555-7544 | (035) 555-2997 | 2021 | 7     | 25  | 352      |
| 63  | (873) 555-8470 | (544) 555-8087 | 2021 | 7     | 25  | 233      |
| 64  | (725) 555-4692 | (604) 555-0153 | 2021 | 7     | 25  | 528      |
| 65  | (368) 555-3561 | (492) 555-5484 | 2021 | 7     | 25  | 117      |
| 66  | (209) 555-7806 | (711) 555-3007 | 2021 | 7     | 25  | 128      |
| 67  | (960) 555-2044 | (601) 555-6795 | 2021 | 7     | 25  | 231      |
| 68  | (006) 555-0505 | (147) 555-6818 | 2021 | 7     | 25  | 592      |
| 69  | (194) 555-5027 | (918) 555-5327 | 2021 | 7     | 25  | 379      |
| 70  | (301) 555-4174 | (994) 555-3373 | 2021 | 7     | 25  | 125      |
